X = 50 M = 4 delay = 500
1000;5.6;5.676923076923077;37.482321428571424
2000;10.309644670050762;10.47715736040609;42.296734693877596
3000;17.29145728643216;17.376884422110553;48.994591836734685
4000;29.394871794871793;30.02051282051282;52.09852040816327
5000;37.45128205128205;37.59487179487179;58.32323979591837
6000;53.42424242424242;54.05050505050505;44.890204081632646
7000;73.66666666666667;75.5959595959596;66.39816326530615
8000;100.18461538461538;100.74358974358974;91.1796343537415
9000;126.68041237113403;129.04123711340208;120.59874574829931
10000;161.85279187817258;163.9492385786802;155.3295918367347
