X = 50 M = 4 delay = 500
1000;4.989690721649485;5.149484536082475;37.203750000000014
2000;10.222222222222221;10.434343434343434;42.1504081632653
3000;18.914141414141415;19.21212121212121;51.61734693877551
4000;26.604060913705585;27.15736040609137;54.97928571428571
5000;40.39593908629442;40.80203045685279;57.64581632653059
6000;61.233502538071065;62.390862944162436;52.75214285714287
7000;83.56060606060606;84.57575757575758;75.3991836734694
8000;110.95876288659794;112.02061855670104;102.73107993197277
9000;145.4020618556701;145.98453608247422;136.2156675170068
10000;179.6051282051282;182.11282051282052;174.28613945578232
